model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Make
 1 Series,2017,11498,Semi-Auto,47110,Diesel,0.0,78.5,1.5,BMW
 X3,2014,17495,Semi-Auto,54075,Diesel,145.0,54.3,2.0,BMW
 5 Series,2015,14998,Semi-Auto,45152,Diesel,30.0,62.8,2.0,BMW
 2 Series,2014,10498,Manual,52091,Diesel,125.0,58.9,2.0,BMW
 1 Series,2019,19998,Semi-Auto,4812,Petrol,145.0,47.9,2.0,BMW
 X1,2016,16698,Semi-Auto,37272,Petrol,160.0,44.8,2.0,BMW
 3 Series,2019,27998,Semi-Auto,4250,Diesel,145.0,48.7,2.0,BMW
 5 Series,2018,27798,Semi-Auto,15711,Diesel,145.0,60.1,3.0,BMW
 1 Series,2016,18298,Manual,21236,Petrol,260.0,36.2,3.0,BMW
 1 Series,2017,14698,Semi-Auto,24008,Petrol,145.0,55.5,1.5,BMW
 X1,2016,18498,Semi-Auto,25994,Diesel,145.0,55.4,2.0,BMW
 X5,2015,27998,Automatic,24188,Diesel,200.0,47.1,3.0,BMW
 X5,2015,21498,Automatic,59216,Diesel,200.0,47.9,3.0,BMW
 1 Series,2017,19498,Manual,21171,Petrol,260.0,36.2,3.0,BMW
 1 Series,2017,14498,Manual,24259,Petrol,145.0,52.3,1.5,BMW
 5 Series,2017,22998,Semi-Auto,19379,Diesel,145.0,65.7,2.0,BMW
 1 Series,2017,14498,Manual,20790,Diesel,145.0,70.6,1.5,BMW
 5 Series,2019,29898,Semi-Auto,2743,Diesel,145.0,60.1,2.0,BMW
 3 Series,2019,22998,Semi-Auto,6000,Petrol,145.0,48.7,2.0,BMW
 3 Series,2019,29998,Manual,3980,Diesel,145.0,53.3,2.0,BMW
 4 Series,2019,29898,Semi-Auto,101,Diesel,145.0,60.1,2.0,BMW
 5 Series,2017,20498,Semi-Auto,12725,Diesel,145.0,68.9,2.0,BMW
 3 Series,2019,27650,Semi-Auto,18200,Diesel,150.0,48.7,2.0,BMW
 Z4,2016,18650,Semi-Auto,25300,Petrol,205.0,41.5,2.0,BMW
 4 Series,2018,22995,Automatic,7200,Petrol,145.0,48.7,2.0,BMW
 X6,2018,36995,Semi-Auto,6100,Diesel,145.0,47.1,3.0,BMW
 5 Series,2018,26995,Automatic,6800,Diesel,145.0,68.9,2.0,BMW
 1 Series,2013,11995,Manual,31600,Diesel,125.0,57.6,2.0,BMW
 5 Series,2018,25995,Semi-Auto,8700,Diesel,145.0,49.6,2.0,BMW
 X6,2016,29995,Automatic,43600,Diesel,200.0,44.8,3.0,BMW
 3 Series,2018,21495,Semi-Auto,16452,Petrol,150.0,48.7,2.0,BMW
 5 Series,2017,22998,Automatic,15838,Diesel,145.0,60.1,2.0,BMW
 5 Series,2019,34498,Automatic,6775,Diesel,145.0,51.4,3.0,BMW
 1 Series,2019,18498,Semi-Auto,11234,Diesel,145.0,68.9,2.0,BMW
 7 Series,2019,45898,Semi-Auto,5893,Diesel,145.0,44.1,3.0,BMW
 X3,2019,37898,Semi-Auto,9781,Diesel,145.0,48.7,3.0,BMW
 X5,2016,34498,Automatic,17303,Hybrid,0.0,85.6,2.0,BMW
 1 Series,2016,17998,Manual,25334,Petrol,300.0,35.3,3.0,BMW
 3 Series,2016,18498,Semi-Auto,36501,Diesel,145.0,53.3,3.0,BMW
 2 Series,2019,23998,Semi-Auto,2318,Petrol,145.0,47.9,2.0,BMW
 X1,2017,21498,Semi-Auto,14418,Diesel,145.0,55.4,2.0,BMW
 X1,2017,18500,Semi-Auto,12160,Diesel,145.0,65.7,2.0,BMW
 X3,2018,31000,Semi-Auto,20290,Diesel,145.0,48.7,3.0,BMW
 X1,2016,19500,Semi-Auto,13690,Diesel,125.0,57.6,2.0,BMW
 X5,2017,34000,Automatic,22158,Diesel,205.0,47.1,3.0,BMW
 X5,2015,28000,Automatic,36174,Diesel,205.0,47.1,3.0,BMW
 3 Series,2018,22000,Semi-Auto,30000,Diesel,150.0,53.3,3.0,BMW
 1 Series,2016,16000,Manual,40125,Petrol,305.0,35.3,3.0,BMW
 3 Series,2017,18000,Manual,20087,Petrol,165.0,44.8,2.0,BMW
 X7,2020,78000,Semi-Auto,5000,Diesel,150.0,31.4,3.0,BMW
 3 Series,2018,22500,Semi-Auto,11150,Petrol,145.0,48.7,2.0,BMW
 1 Series,2018,15500,Manual,5827,Petrol,145.0,37.7,1.5,BMW
 4 Series,2019,29000,Semi-Auto,14000,Diesel,145.0,50.4,3.0,BMW
 4 Series,2019,24700,Semi-Auto,5196,Diesel,145.0,65.7,2.0,BMW
 2 Series,2019,24000,Semi-Auto,2500,Petrol,145.0,39.2,1.5,BMW
 1 Series,2018,16000,Manual,7000,Diesel,145.0,50.4,1.5,BMW
 X3,2019,56000,Semi-Auto,26,Petrol,145.0,24.8,3.0,BMW
 1 Series,2019,32000,Semi-Auto,4493,Petrol,145.0,34.5,2.0,BMW
 X1,2018,20000,Semi-Auto,10545,Diesel,145.0,60.1,2.0,BMW
 X1,2017,22000,Semi-Auto,16500,Petrol,145.0,44.8,2.0,BMW
 3 Series,2016,16998,Semi-Auto,43695,Hybrid,0.0,134.5,2.0,BMW
 X3,2015,17498,Semi-Auto,48867,Diesel,145.0,54.3,2.0,BMW
 1 Series,2017,15798,Semi-Auto,23157,Petrol,145.0,54.3,1.5,BMW
 X1,2016,18998,Semi-Auto,30434,Diesel,125.0,57.6,2.0,BMW
 3 Series,2015,20000,Semi-Auto,39700,Diesel,160.0,50.4,3.0,BMW
 5 Series,2019,28000,Semi-Auto,5739,Diesel,145.0,62.8,2.0,BMW
 X5,2017,41500,Automatic,18000,Diesel,145.0,42.8,3.0,BMW
 1 Series,2018,16000,Semi-Auto,24275,Diesel,145.0,68.9,1.5,BMW
 4 Series,2017,20800,Semi-Auto,14774,Diesel,125.0,58.9,2.0,BMW
 3 Series,2018,20500,Semi-Auto,12133,Petrol,145.0,48.7,2.0,BMW
 1 Series,2017,15500,Manual,15645,Petrol,125.0,52.3,1.5,BMW
 X4,2016,25000,Semi-Auto,25085,Diesel,200.0,47.9,3.0,BMW
 1 Series,2017,21500,Semi-Auto,19486,Petrol,145.0,39.8,3.0,BMW
 X2,2019,30000,Semi-Auto,5431,Diesel,145.0,48.7,2.0,BMW
 7 Series,2020,53000,Semi-Auto,6555,Diesel,145.0,42.2,3.0,BMW
 3 Series,2014,14000,Semi-Auto,73923,Diesel,160.0,52.3,3.0,BMW
 1 Series,2018,25990,Semi-Auto,6500,Petrol,150.0,32.5,3.0,BMW
 X4,2018,32000,Semi-Auto,10920,Diesel,150.0,42.8,2.0,BMW
 3 Series,2019,24300,Semi-Auto,8000,Petrol,150.0,44.8,2.0,BMW
 5 Series,2019,33000,Semi-Auto,12250,Diesel,150.0,53.3,3.0,BMW
 X3,2016,20500,Semi-Auto,37000,Diesel,145.0,54.3,2.0,BMW
 3 Series,2016,19000,Semi-Auto,40500,Diesel,145.0,53.3,3.0,BMW
 3 Series,2017,18000,Semi-Auto,33000,Diesel,145.0,60.1,2.0,BMW
 M4,2020,51000,Semi-Auto,2000,Petrol,145.0,32.5,3.0,BMW
 X3,2015,16500,Semi-Auto,48000,Diesel,145.0,54.3,2.0,BMW
 4 Series,2017,19800,Manual,17410,Petrol,150.0,40.9,2.0,BMW
 1 Series,2017,13500,Manual,25975,Petrol,145.0,53.3,1.5,BMW
 1 Series,2019,18500,Semi-Auto,12054,Petrol,150.0,54.3,1.5,BMW
 1 Series,2014,9300,Manual,51203,Diesel,30.0,65.7,2.0,BMW
 X5,2019,50000,Semi-Auto,5145,Diesel,150.0,37.7,3.0,BMW
 1 Series,2017,11800,Manual,23274,Diesel,20.0,72.4,1.5,BMW
 4 Series,2018,22000,Semi-Auto,10948,Diesel,145.0,60.1,2.0,BMW
 2 Series,2019,27500,Semi-Auto,7000,Petrol,145.0,38.2,3.0,BMW
 5 Series,2019,28000,Semi-Auto,16000,Diesel,145.0,60.1,3.0,BMW
 2 Series,2020,29000,Manual,5550,Petrol,145.0,43.5,1.5,BMW
 3 Series,2014,16800,Semi-Auto,50687,Diesel,160.0,52.3,3.0,BMW
 3 Series,2013,15500,Semi-Auto,46500,Diesel,150.0,55.4,3.0,BMW
 X1,2016,19300,Semi-Auto,25300,Diesel,125.0,60.1,2.0,BMW
 1 Series,2017,16998,Semi-Auto,12458,Diesel,30.0,62.8,2.0,BMW
 1 Series,2017,21498,Semi-Auto,21200,Petrol,200.0,39.8,3.0,BMW
 4 Series,2016,18998,Semi-Auto,20151,Diesel,145.0,53.3,3.0,BMW
 X1,2017,18498,Manual,13278,Diesel,125.0,58.9,2.0,BMW
 5 Series,2019,27000,Semi-Auto,9000,Petrol,145.0,48.7,2.0,BMW
 2 Series,2018,18000,Semi-Auto,13174,Diesel,145.0,49.6,2.0,BMW
 7 Series,2016,26000,Semi-Auto,39085,Diesel,145.0,54.3,3.0,BMW
 3 Series,2017,25500,Semi-Auto,14834,Diesel,145.0,51.4,3.0,BMW
 3 Series,2016,18000,Semi-Auto,15088,Diesel,145.0,55.4,3.0,BMW
 1 Series,2017,16800,Semi-Auto,16761,Diesel,145.0,67.3,2.0,BMW
 3 Series,2018,21300,Semi-Auto,18564,Diesel,145.0,60.1,2.0,BMW
 X2,2019,29000,Semi-Auto,1418,Petrol,145.0,36.2,2.0,BMW
 3 Series,2019,34000,Semi-Auto,5525,Diesel,145.0,50.4,2.0,BMW
 3 Series,2017,24000,Semi-Auto,15338,Diesel,145.0,49.6,3.0,BMW
 3 Series,2013,14990,Semi-Auto,35500,Diesel,145.0,55.4,2.0,BMW
 5 Series,2017,30000,Semi-Auto,11086,Diesel,145.0,53.3,3.0,BMW
 1 Series,2018,15800,Semi-Auto,11132,Petrol,145.0,55.5,1.5,BMW
 1 Series,2018,16500,Semi-Auto,7656,Petrol,145.0,37.2,1.5,BMW
 X3,2015,19500,Semi-Auto,41567,Diesel,145.0,54.3,2.0,BMW
 5 Series,2019,40000,Semi-Auto,1034,Petrol,145.0,39.2,3.0,BMW
 1 Series,2017,21800,Semi-Auto,20294,Petrol,200.0,39.8,3.0,BMW
 3 Series,2017,20998,Semi-Auto,30422,Diesel,145.0,51.4,3.0,BMW
 3 Series,2019,28495,Semi-Auto,11,Petrol,145.0,42.2,2.0,BMW
 4 Series,2019,29995,Semi-Auto,11,Diesel,145.0,65.7,2.0,BMW
 X1,2019,25995,Manual,11,Diesel,145.0,36.7,2.0,BMW
 X3,2019,31995,Semi-Auto,11,Petrol,145.0,31.4,2.0,BMW
 3 Series,2018,19495,Semi-Auto,12849,Diesel,145.0,64.2,2.0,BMW
 Kuga,2014,8998,Manual,68055,Diesel,150.0,53.3,2.0,Ford
 Fiesta,2018,12998,Manual,23200,Petrol,150.0,65.7,1.0,Ford
 Mondeo,2016,12498,Manual,25800,Diesel,30.0,64.2,2.0,Ford
 Tourneo Custom,2019,20990,Manual,5100,Diesel,145.0,31.7,2.0,Ford
 Tourneo Custom,2019,29999,Manual,100,Diesel,145.0,30.1,2.0,Ford
 EcoSport,2019,15489,Manual,5636,Diesel,145.0,68.9,1.5,Ford
 Focus,2019,15998,Manual,4500,Diesel,145.0,80.7,1.5,Ford
 Grand Tourneo Connect,2019,19999,Manual,3500,Diesel,145.0,61.4,1.5,Ford
 Focus,2016,8489,Manual,61379,Diesel,0.0,74.3,1.5,Ford
 Fiesta,2018,9490,Manual,3012,Petrol,145.0,55.4,1.1,Ford
 Focus,2017,12490,Manual,11292,Petrol,125.0,51.4,1.5,Ford
 Ka+,2017,6490,Manual,19285,Petrol,150.0,57.7,1.2,Ford
 Focus,2016,14790,Manual,33352,Petrol,205.0,41.5,2.0,Ford
 Focus,2017,12498,Manual,17998,Diesel,0.0,74.3,1.5,Ford
 Focus,2018,18998,Manual,11578,Diesel,150.0,67.3,2.0,Ford
 Focus,2015,9598,Manual,29577,Diesel,20.0,67.3,1.6,Ford
 Focus,2017,10498,Manual,27704,Diesel,145.0,74.3,1.5,Ford
 Fiesta,2015,7998,Manual,19001,Petrol,125.0,54.3,1.2,Ford
 Grand C-MAX,2016,9998,Manual,39460,Diesel,30.0,64.2,1.5,Ford
 Focus,2019,16250,Manual,13325,Diesel,145.0,74.3,1.5,Ford
 Focus,2019,18450,Automatic,14464,Diesel,145.0,54.3,1.5,Ford
 Focus,2018,9950,Manual,19223,Petrol,145.0,61.4,1.0,Ford
 Ka+,2019,9950,Manual,906,Petrol,145.0,43.5,1.2,Ford
 Ka+,2019,9950,Manual,2520,Petrol,145.0,43.5,1.2,Ford
 Ka+,2019,9950,Manual,1196,Petrol,145.0,43.5,1.2,Ford
 Fiesta,2015,8498,Manual,19429,Petrol,0.0,65.7,1.0,Ford
 B-MAX,2014,5998,Manual,69078,Petrol,30.0,57.7,1.0,Ford
 EcoSport,2017,9998,Manual,37560,Petrol,145.0,53.3,1.0,Ford
 Focus,2016,9998,Manual,3155,Petrol,20.0,61.4,1.0,Ford
 Focus,2019,16998,Manual,14206,Petrol,150.0,60.1,1.0,Ford
 Focus,2017,16998,Automatic,30393,Diesel,145.0,61.4,2.0,Ford
 Kuga,2014,11198,Manual,41711,Diesel,145.0,53.3,2.0,Ford
 Focus,2019,14498,Manual,14316,Diesel,150.0,80.7,1.5,Ford
 Fiesta,2016,7998,Manual,21456,Petrol,125.0,54.3,1.2,Ford
 Fiesta,2016,9998,Manual,20682,Petrol,0.0,65.7,1.0,Ford
 Focus,2019,17998,Manual,12027,Diesel,145.0,74.3,1.5,Ford
 B-MAX,2014,6498,Manual,36727,Diesel,20.0,70.6,1.6,Ford
 Kuga,2019,19998,Automatic,8757,Petrol,145.0,28.8,1.5,Ford
 EcoSport,2016,8698,Manual,28670,Diesel,30.0,64.2,1.5,Ford
 Fiesta,2017,10698,Manual,21041,Diesel,0.0,78.5,1.5,Ford
 EcoSport,2018,13698,Manual,4223,Petrol,145.0,54.3,1.0,Ford
 Fiesta,2019,13498,Manual,9007,Petrol,145.0,58.9,1.0,Ford
 Fiesta,2016,8498,Manual,11457,Petrol,125.0,54.3,1.2,Ford
 Fiesta,2014,6298,Manual,39944,Petrol,30.0,54.3,1.2,Ford
 Fiesta,2019,11698,Manual,3578,Petrol,150.0,48.7,1.1,Ford
 Kuga,2017,13998,Manual,21167,Diesel,150.0,54.3,2.0,Ford
 Fiesta,2016,8498,Semi-Auto,31976,Petrol,145.0,47.9,1.6,Ford
 Focus,2018,13998,Manual,10149,Petrol,145.0,57.7,1.0,Ford
 S-MAX,2016,14498,Manual,50364,Diesel,125.0,56.5,2.0,Ford
 Fiesta,2018,11950,Manual,16678,Petrol,145.0,58.9,1.0,Ford
 Fiesta,2019,11395,Manual,1394,Petrol,145.0,55.4,1.1,Ford
 Grand Tourneo Connect,2018,15990,Automatic,9486,Diesel,145.0,56.6,1.5,Ford
 Fiesta,2018,10990,Manual,28138,Petrol,145.0,56.5,1.0,Ford
 Kuga,2019,18489,Manual,10351,Diesel,145.0,54.3,1.5,Ford
 EcoSport,2017,9489,Manual,29500,Petrol,145.0,52.3,1.0,Ford
 Fiesta,2017,9795,Manual,4162,Diesel,0.0,78.5,1.5,Ford
 Kuga,2017,15995,Manual,23237,Diesel,125.0,60.1,2.0,Ford
 Kuga,2019,18495,Manual,7959,Diesel,145.0,38.2,2.0,Ford
 Focus,2018,11995,Manual,10553,Diesel,145.0,74.3,1.5,Ford
 Fiesta,2018,9998,Manual,23112,Petrol,145.0,65.7,1.0,Ford
 Fiesta,2019,14998,Manual,7953,Petrol,145.0,60.1,1.0,Ford
 Fiesta,2015,8000,Manual,14422,Petrol,125.0,54.3,1.2,Ford
 Focus,2017,18498,Semi-Auto,21183,Diesel,145.0,61.4,2.0,Ford
 Fiesta,2016,7998,Manual,21446,Petrol,125.0,54.3,1.2,Ford
 Fiesta,2019,12498,Manual,7941,Petrol,145.0,58.9,1.0,Ford
 Focus,2016,8498,Manual,45256,Petrol,20.0,60.1,1.0,Ford
 Fiesta,2013,5298,Manual,54545,Petrol,0.0,65.7,1.0,Ford
 Focus,2017,9998,Manual,28761,Petrol,20.0,60.1,1.0,Ford
 C-MAX,2014,7498,Manual,31343,Petrol,30.0,55.4,1.0,Ford
 Kuga,2017,15998,Manual,24896,Diesel,125.0,60.1,2.0,Ford
 Focus,2017,16998,Manual,45854,Petrol,150.0,41.5,2.0,Ford
 Fiesta,2017,8698,Manual,18775,Petrol,125.0,54.3,1.2,Ford
 Focus,2019,15998,Manual,10386,Petrol,145.0,49.6,1.0,Ford
 Fiesta,2017,8998,Manual,20507,Petrol,125.0,54.3,1.2,Ford
 Focus,2017,9998,Semi-Auto,32384,Petrol,125.0,51.4,1.0,Ford
 Fiesta,2019,10698,Manual,10786,Petrol,145.0,55.4,1.1,Ford
 Kuga,2020,20450,Manual,1196,Diesel,150.0,38.2,2.0,Ford
 C-MAX,2017,11495,Manual,39254,Diesel,150.0,68.9,1.5,Ford
 C-MAX,2017,9750,Manual,30157,Diesel,20.0,68.9,1.5,Ford
 Kuga,2019,18495,Manual,11859,Diesel,145.0,54.3,1.5,Ford
 Grand C-MAX,2019,14950,Manual,9693,Diesel,145.0,57.7,1.5,Ford
 Kuga,2018,17295,Manual,11723,Diesel,145.0,64.2,1.5,Ford
 Focus,2019,16250,Manual,11027,Diesel,145.0,74.3,1.5,Ford
 KA,2015,4998,Manual,28322,Petrol,30.0,57.7,1.2,Ford
 Fiesta,2017,8698,Manual,23833,Petrol,0.0,65.7,1.0,Ford
 Fiesta,2017,11298,Manual,13775,Petrol,145.0,65.7,1.0,Ford
 Focus,2017,10898,Manual,14050,Petrol,145.0,60.1,1.0,Ford
 Kuga,2014,11698,Manual,34088,Diesel,160.0,47.9,2.0,Ford
 B-MAX,2014,5998,Manual,52565,Petrol,30.0,55.4,1.0,Ford
 Fiesta,2017,9998,Semi-Auto,16517,Petrol,145.0,47.9,1.6,Ford
 Tourneo Connect,2019,19998,Manual,4605,Diesel,145.0,61.4,1.5,Ford
 Focus,2019,14998,Manual,12078,Petrol,145.0,58.9,1.0,Ford
 Grand C-MAX,2014,6998,Manual,45460,Diesel,125.0,60.1,1.6,Ford
 EcoSport,2016,10498,Semi-Auto,24963,Petrol,160.0,44.8,1.5,Ford
 Focus,2015,12298,Manual,51103,Petrol,240.0,39.2,2.0,Ford
 Kuga,2015,9498,Manual,63863,Diesel,145.0,54.3,2.0,Ford
 Kuga,2016,11990,Semi-Auto,55145,Diesel,145.0,52.3,2.0,Ford
 Fiesta,2017,7490,Manual,28842,Petrol,0.0,65.7,1.0,Ford
 Fiesta,2019,13698,Manual,11060,Petrol,145.0,58.9,1.0,Ford
 Focus,2017,10498,Manual,39539,Petrol,20.0,60.1,1.0,Ford
 EcoSport,2017,10798,Semi-Auto,3652,Petrol,165.0,44.8,1.5,Ford
 Kuga,2017,15998,Manual,29667,Diesel,125.0,60.1,2.0,Ford
 Focus,2016,8998,Manual,49080,Diesel,0.0,74.3,1.5,Ford
 Kuga,2015,9298,Manual,61787,Diesel,125.0,60.1,2.0,Ford
 Grand C-MAX,2017,10698,Manual,29886,Diesel,30.0,64.2,1.5,Ford
 Kuga,2017,17498,Semi-Auto,31098,Diesel,150.0,54.3,2.0,Ford
 Kuga,2017,13998,Manual,15860,Diesel,150.0,54.3,2.0,Ford
 Fiesta,2019,14998,Manual,8263,Petrol,145.0,60.1,1.0,Ford
 Fiesta,2015,8298,Manual,13118,Petrol,0.0,65.7,1.0,Ford
 Fiesta,2016,9698,Manual,19256,Petrol,0.0,65.7,1.0,Ford
 Fiesta,2017,7798,Manual,11085,Petrol,125.0,54.3,1.2,Ford
 Focus,2018,13498,Manual,10150,Petrol,145.0,58.9,1.0,Ford
 Focus,2016,9690,Manual,46176,Diesel,0.0,74.3,1.5,Ford
 Focus,2017,16498,Manual,18506,Diesel,20.0,67.3,2.0,Ford
 Fiesta,2017,11495,Manual,11476,Petrol,145.0,65.7,1.0,Ford
 EcoSport,2015,8000,Manual,29681,Petrol,160.0,44.8,1.5,Ford
 Mondeo,2015,11400,Semi-Auto,51581,Diesel,125.0,57.7,2.0,Ford
 Fiesta,2017,8250,Manual,32994,Petrol,145.0,64.2,1.1,Ford
 Fiesta,2019,10998,Manual,12320,Petrol,145.0,58.9,1.0,Ford
 EcoSport,2018,12998,Manual,3956,Petrol,145.0,53.3,1.0,Ford
 Fiesta,2014,6698,Manual,39002,Petrol,0.0,65.7,1.0,Ford
 Kuga,2018,15998,Manual,10087,Diesel,145.0,64.2,1.5,Ford
 Fiesta,2014,6498,Manual,21284,Petrol,30.0,54.3,1.2,Ford
 Focus,2017,12998,Manual,17307,Diesel,145.0,74.3,1.5,Ford
 Focus,2017,18998,Manual,10222,Petrol,145.0,41.5,2.0,Ford
 Fiesta,2015,8498,Manual,10801,Petrol,125.0,54.3,1.2,Ford
 Fiesta,2015,6998,Manual,42477,Petrol,30.0,54.3,1.2,Ford
 Kuga,2013,9498,Semi-Auto,64718,Diesel,205.0,45.6,2.0,Ford
 Fiesta,2019,11698,Manual,3484,Petrol,150.0,48.7,1.1,Ford
 Focus,2019,19300,Manual,2958,Diesel,145.0,70.6,2.0,Ford
 Focus,2017,16890,Manual,23365,Petrol,145.0,41.5,2.0,Ford
 Focus,2016,9420,Manual,34214,Diesel,0.0,74.3,1.5,Ford
 Focus,2019,15390,Manual,5341,Petrol,145.0,60.1,1.0,Ford
 Focus,2019,15370,Manual,6736,Petrol,145.0,60.1,1.0,Ford
 Focus,2015,9230,Manual,27412,Diesel,0.0,74.3,1.5,Ford
 Ka+,2017,6990,Manual,11203,Petrol,145.0,57.7,1.2,Ford
 Focus,2017,15591,Manual,45400,Diesel,20.0,67.3,2.0,Ford
 EcoSport,2018,12891,Manual,16156,Petrol,145.0,54.3,1.0,Ford
 Fiesta,2017,10447,Automatic,8337,Petrol,145.0,54.3,1.0,Ford
 Kuga,2014,8998,Manual,71854,Diesel,145.0,53.3,2.0,Ford
 B-MAX,2013,5998,Manual,37058,Petrol,30.0,55.4,1.0,Ford
 Focus,2017,11998,Manual,28497,Diesel,145.0,74.3,1.5,Ford
 KA,2014,4298,Manual,30658,Petrol,30.0,57.7,1.2,Ford
 Focus,2015,7498,Manual,36462,Petrol,20.0,60.1,1.0,Ford
 Fiesta,2013,7998,Semi-Auto,22125,Petrol,150.0,47.9,1.6,Ford
 Focus,2016,9498,Manual,18154,Petrol,20.0,60.1,1.0,Ford
 Kuga,2017,19498,Semi-Auto,23270,Diesel,145.0,54.3,2.0,Ford
 Kuga,2015,13698,Manual,34332,Diesel,145.0,54.3,2.0,Ford
 Kuga,2015,11498,Semi-Auto,44123,Diesel,145.0,52.3,2.0,Ford
 Edge,2017,20498,Manual,29326,Diesel,200.0,47.9,2.0,Ford
 Kuga,2018,16998,Manual,13737,Diesel,145.0,64.2,1.5,Ford
 Focus,2015,8998,Manual,32492,Diesel,0.0,74.3,1.5,Ford
 Focus,2018,18998,Manual,16312,Diesel,145.0,67.3,2.0,Ford
 Fiesta,2019,13898,Manual,14698,Petrol,145.0,58.9,1.0,Ford
 Fiesta,2019,13498,Manual,20388,Petrol,145.0,58.9,1.0,Ford
 Fiesta,2017,11998,Manual,8966,Petrol,145.0,65.7,1.0,Ford
